tid	entries	bytes	title
T0	1	633	Zero
T1	1	688	One
T2	21	1019	Integers
T3	1000	59051	Zeros of the Riemann zeta function
T4	1075	153145	Zeros of Dirichlet L-series
T5	1	2011	Exponent of matrix multiplication complexity
T6	10	2487	Diagonal Ramsey numbers
T7	1	1055	Pi
T8	1	1229	Euler's constant e
T9	1080	123675	Values of the Gamma function at rational numbers
T10	2	1913	Fine-structure constant
T11	101	8954	Factorial of natural numbers
T12	2	1546	Proton-to-electron mass ratio
T13	101	4479	Bernoulli numbers
T14	1000	110846	Values of the Riemann zeta function at rational numbers
T15	502	35188	Taylor coefficients of the completed Riemann zeta function a
T16	1001	117040	Stieltjes constants
T17	294	34654	Area of the regular n-gon
T18	6	7558	Feigenbaum constants
T19	8	2756	Pólya's random walk constants
T20	1050	124734	Zeros of Bessel functions of the first kind $J_\alpha$
T21	1050	121274	Zeros of Bessel functions of the second kind $Y_\alpha$
T22	1050	121423	Local extrema of Bessel functions of the first kind $J_\alph
T23	1050	121403	Local extrema of Bessel functions of the second kind $Y_\alp
T24	908	132462	Values of the prime zeta function at rational numbers
T25	774	88458	Complete elliptic integral of the first kind $K(m)$
T26	775	88344	Complete elliptic integral of the second kind $E(m)$
T27	501	59629	Volume of the $d$-dimensional unit ball
T28	502	59643	Volume of the $d$-dimensional unit sphere
T29	319	36553	Rational multiples of pi
T30	39	1382	Rational numbers
T31	1001	117317	Keiper-Li coefficients
T32	3	2458	Golden ratio
T33	502	60624	Taylor coefficients of the completed Riemann zeta function a
T34	1002	122677	Laurent series coefficients of the logarithmic derivative  o
T35	850	101212	Algebraic numbers of degree 2
T36	700	87436	Laurent series coefficients of the logarithmic derivative  o
T37	1	1969	Ramanujan's constant $R = e^{\pi \sqrt{163}}$
T38	1	1924	Hafner-Sarnak-McCurley constant
T39	1	1277	Twin prime constant $C_2$
T40	4	2306	Wilbraham-Gibbs constant
T41	4	2867	Hyperreal numbers
T42	1	1069	42
T43	1	1507	Meissel-Mertens constant $M$
T44	1036	75815	Teichmüller representatives in $\mathbb{Z}_p$
T45	856	66136	$p$-adic logarithm of integers
T46	1010	75093	Values of the $p$-adic exponential function at integers
T47	810	52306	Values of the $p$-adic Gamma function at integers
T48	1010	75085	Values of the Artin-Hasse exponential function at integers
T49	841	102466	Generalized Bernoulli numbers
T50	1000	80529	Values of the Kubota-Leopoldt zeta function at integers
T51	990	115224	Values of the arithmetic-geometric mean
T52	990	78357	Values of the $p$-adic arithmetic-geometric mean
T53	990	117559	Multiple zeta values of length 2
T54	900	107162	Multiple zeta values of length 3
T55	1000	115266	Zeros of the Airy function of the first kind Ai
T56	1000	115268	Zeros of the Airy function of the second kind Bi
T57	1000	115396	Local extrema of the Airy function of the first kind Ai
T58	1000	115398	Local extrema of the Airy function of the second kind Bi
T59	992	113942	Complete elliptic integral of the third kind $\Pi(n,m)$
T60	774	176195	Roots of unity
T61	941	107666	$\cos(\pi x)$ for rational $x$
T62	723	22649	$abc$-triples of high quality
T63	606	36115	$abc$-triples of high merit
T64	1007	223667	Regulators of elliptic curves over $\mathbb{Q}$ of rank $1$
T65	955	217440	Regulators of elliptic curves over $\mathbb{Q}$ of rank $2$
T66	1061	247797	Regulators of elliptic curves over $\mathbb{Q}$ of rank $3$
T67	442	7247	$j$-invariants of elliptic curves over $\mathbb{Q}$ with  go
T68	395	42383	$j$-invariants of elliptic curves  over quadratic fields  wi
T69	1124	243339	Special $L$-value of elliptic curves over $\mathbb{Q}$ of ra
T70	1091	249165	Special $L$-value of elliptic curves over $\mathbb{Q}$ of ra
T71	1026	240082	Special $L$-value of elliptic curves over $\mathbb{Q}$ of ra
T72	1007	223665	Real periods of elliptic curves over $\mathbb{Q}$ of rank $1
T73	955	217582	Real periods of elliptic curves over $\mathbb{Q}$ of rank $2
T74	1061	247940	Real periods of elliptic curves over $\mathbb{Q}$ of rank $3
T76	40	3312	Mass ratios
T77	26	3035	Orders of sporadic finite simple groups
T78	35	3044	Magnetic moment ratios
T79	1002	126550	$q$-expansion of the $j$-invariant
T80	1001	27910	$q$-expansion of the modular discriminant $\Delta$
T81	1001	23847	$q$-expansion of the Eisenstein series $E_4$
T82	1001	30253	$q$-expansion of the Eisenstein series $E_6$
T83	13	1359	Rational singular moduli
T84	69	5324	Spectral parameter of Maass forms of level 1
T85	25	3902	Volume of the Platonic solids
T86	25	3806	Surface area of the Platonic solids
T87	120	9124	Elliptic curves over $\mathbb{Q}$ with large Szpiro ratios
T88	512	14076	Number of elliptic curves over $\mathbb{Q}$ with good reduti
T89	16	3082	Number of $p$-smooth $abc$-triples
T90	26	2602	First known Mordell curves of given rank
T91	15	3202	Highest known ranks of elliptic curves over $\mathbb{Q}$ wit
T92	1024	132359	Best Sobolev constant for $W^{1,p}(\mathbb{R}^n)$
T93	1080	230731	Values of the Barnes $G$-function at rational numbers
T94	1134	121500	Values of the Hurwitz zeta function at pairs of rational num
T95	100	15869	Cyclotomic polynomials
T96	12	133559	Modular polynomials for the $j$-invariant
T97	23	75167	Modular polynomials for Weber's $f$-function
T98	101	75666	Chebyshev polynomials of the first kind $T_n$
T99	101	76121	Chebyshev polynomials of the second kind $U_n$
T100	5	2628	Hausdorff dimension of some fractals
T101	51	26700	Legendre polynomials
T102	51	39123	Laguerre polynomials
T103	51	22401	Hermite polynomials in physicist's convention
T104	51	17106	Hermite polynomials in probabilist's convention
T105	337	47274	Gegenbauer polynomials
T106	207	33998	Jacobi polynomials
T107	2	22176	Equations satisfied by Igusa invariants of split Jacobians
T108	101	50069	Fibonacci polynomials $F_n$
T109	101	51437	Lucas polynomials $L_n$
T110	41	21549	Touchard polynomials $T_n$
T111	351	51784	Bernstein basis polynomials $b_{v,n}$
T112	231	78476	Lagrange basis polynomials for equally spaced nodes
T113	28	4563	Partial Bell polynomials $B_{n,k}$
T114	51	16264	Bernoulli polynomials $B_n$
T115	51	18547	Euler polynomials $E_n$
T116	31	13928	Bessel polynomials $y_n$
T117	41	9349	Dickson polynomials of the first kind $D_n(x,a)$
T118	21	3934	Elementary symmetric polynomials $e_k$
T119	72	4507	Power sum symmetric polynomials $p_k$
T120	18	4414	Complete homogeneous symmetric polynomials $h_k$
T121	44	5579	Monomial symmetric polynomials $m_\lambda$
T122	33	5946	Schur polynomials $s_\lambda$
T123	21	6541	Abel polynomials $A_n(x;a)$
T124	26	8698	Bernoulli polynomials of the second kind $\psi_n$
T125	996	68484	Chromatic polynomials of connected graphs
T126	996	182580	Tutte polynomials of connected graphs
T127	1050	123921	Zeros of the polygamma functions $\psi^{(n)}$
T128	607	133098	Residues of Dedekind zeta functions of quadratic fields
T129	150	53644	Hilbert class polynomials $H_\Delta$
T130	906	77951	Values of Dedekind zeta functions of real quadratic fields a
T131	302	76887	Regulators of real quadratic fields
T132	930	119534	Nodes and weights of Gauss–Legendre quadrature
T133	51	34553	Secondary polynomials of the Legendre polynomials $q_n$
T134	930	123155	Nodes and weights of Gauss–Hermite quadrature
T135	930	123667	Nodes and weights of Gauss–Laguerre quadrature
T136	816	126934	Nodes and weights of Gauss–Kronrod quadrature
T137	928	111907	Nodes and weights of Gauss–Lobatto quadrature
T138	250	47059	Alexander polynomials of the prime knots with at most ten cr
T139	479	107800	Jones polynomials of the prime knots with at most ten crossi
T140	250	46282	Conway polynomials of the prime knots with at most ten cross
T141	243	56300	Hyperbolic volumes of the prime knots with at most ten cross
T142	471	171446	Gauss sums of primitive Dirichlet characters
T143	372	150263	Jacobi sums of pairs of Dirichlet characters modulo a prime
T144	616	147302	Kloosterman sums modulo a prime
T145	503	171980	Values of Dirichlet L-functions at positive integers
T146	158	24388	Gaussian period polynomials
